id,material,substrate,process,T_C,P_Torr,t_pulse_s,GPC_A_per_cycle,Uniformity_pct,Interdiffusion_Width_nm,Diffusivity_cm2_per_s,Diffusivity_cm2_per_s_str,x_max_nm
ALD_Al2O3_Si_00001,Al2O3,Si(100),ALD,267.7,5.4,0.93,1.12,99.9,2.0,7.497536362823455e-18,7.5e-18,6.865530686392603
ALD_Al2O3_Si_00002,Al2O3,Si(100),ALD,256.9,6.6,0.61,1.09,99.9,2.0,5.778644757249138e-18,5.78e-18,4.8814771863640365
ALD_Al2O3_Si_00003,Al2O3,Si(100),ALD,266.3,3.1,0.88,1.12,99.9,2.0,1.0616411730878018e-17,1.06e-17,7.947006361180741
ALD_Al2O3_Si_00004,Al2O3,Si(100),ALD,226.5,1.5,0.59,1.08,99.9,0.9,5.988537566244346e-18,5.99e-18,2.19923813033396
ALD_Al2O3_Si_00005,Al2O3,Si(100),ALD,186.0,7.2,0.6,1.01,99.9,0.48,5.2718166595271974e-18,5.27e-18,1.1097888673851604
ALD_Al2O3_Si_00006,Al2O3,Si(100),ALD,164.7,5.5,0.67,0.99,97.1,1.07,4.278009871717472e-18,4.28e-18,2.3549702360032168
ALD_Al2O3_Si_00007,Al2O3,Si(100),ALD,182.6,8.2,0.5,1.03,98.4,0.5,2.191885818355189e-18,2.19e-18,0.6804673975493122
ALD_Al2O3_Si_00008,Al2O3,Si(100),ALD,251.4,3.8,0.39,1.08,99.9,1.94,4.362178595079764e-18,4.36e-18,3.2894940632363894
ALD_Al2O3_Si_00009,Al2O3,Si(100),ALD,278.0,6.5,0.27,1.08,99.9,2.0,4.435110717319274e-18,4.44e-18,2.845165035854887
ALD_Al2O3_Si_00010,Al2O3,Si(100),ALD,173.1,3.1,0.51,1.01,99.9,1.04,2.6391640744823574e-18,2.64e-18,1.5685377489513364
ALD_Al2O3_Si_00011,Al2O3,Si(100),ALD,247.8,8.8,0.77,1.08,99.9,1.71,8.485032416874396e-18,8.49e-18,5.682135398379239
ALD_Al2O3_Si_00012,Al2O3,Si(100),ALD,169.5,3.7,0.34,0.98,99.9,1.0,1.0929614164903992e-18,1.09e-18,0.7924743717719732
ALD_Al2O3_Si_00013,Al2O3,Si(100),ALD,309.8,4.2,0.64,1.15,99.9,2.0,1.0077307457377506e-17,1.01e-17,6.6029132194507945
ALD_Al2O3_Si_00014,Al2O3,Si(100),ALD,236.9,6.2,0.07,1.01,99.9,1.1,6.946399510103941e-19,6.95e-19,0.31532974250374934
ALD_Al2O3_Si_00015,Al2O3,Si(100),ALD,180.7,2.1,0.32,0.97,99.9,0.73,7.693227056422904e-19,7.69e-19,0.47086398818313635
ALD_Al2O3_Si_00016,Al2O3,Si(100),ALD,308.8,5.8,0.9,1.15,99.9,2.0,2.39956887206718e-17,2.4e-17,10.0
ALD_Al2O3_Si_00017,Al2O3,Si(100),ALD,259.2,2.6,0.93,1.09,99.9,2.0,8.182121393610089e-18,8.18e-18,7.172123867959052
ALD_Al2O3_Si_00018,Al2O3,Si(100),ALD,206.4,7.9,0.99,1.06,99.9,0.41,9.581715809902329e-18,9.58e-18,1.6415966197857954
ALD_Al2O3_Si_00019,Al2O3,Si(100),ALD,255.3,7.5,0.65,1.07,99.9,1.95,1.0001508292249034e-17,1e-17,6.463494620287289
ALD_Al2O3_Si_00020,Al2O3,Si(100),ALD,337.3,9.4,0.97,1.16,99.9,2.0,2.399394430758584e-17,2.4e-17,10.0
ALD_Al2O3_Si_00021,Al2O3,Si(100),ALD,297.5,6.2,0.94,1.17,99.9,2.0,2.4935709806172922e-17,2.49e-17,10.0
ALD_Al2O3_Si_00022,Al2O3,Si(100),ALD,179.4,5.4,0.26,0.99,99.9,0.73,1.9813237722673766e-18,1.98e-18,0.6811309450929539
ALD_Al2O3_Si_00023,Al2O3,Si(100),ALD,219.3,0.6,0.56,1.05,99.9,0.7,4.5375321561580265e-18,4.54e-18,1.4505919522622819
ALD_Al2O3_Si_00024,Al2O3,Si(100),ALD,331.8,9.5,0.99,1.16,99.9,2.0,2.4057959381348602e-17,2.41e-17,10.0
ALD_Al2O3_Si_00025,Al2O3,Si(100),ALD,305.8,9.4,0.54,1.12,99.9,2.0,1.602729716631661e-17,1.6e-17,7.64892447184061
ALD_Al2O3_Si_00026,Al2O3,Si(100),ALD,280.2,2.4,0.5,1.11,99.9,2.0,8.861518369715506e-18,8.86e-18,5.472835836167426
ALD_Al2O3_Si_00027,Al2O3,Si(100),ALD,310.6,3.0,0.06,1.1,99.9,2.0,1.9253476664674543e-18,1.93e-18,0.8836973540297602
ALD_Al2O3_Si_00028,Al2O3,Si(100),ALD,250.3,7.6,0.17,1.06,99.9,1.69,1.0368938564662316e-18,1.04e-18,0.9224050421230932
ALD_Al2O3_Si_00029,Al2O3,Si(100),ALD,226.6,6.6,0.94,1.06,99.1,0.85,9.34355035098117e-18,9.34e-18,3.2747803061073233
ALD_Al2O3_Si_00030,Al2O3,Si(100),ALD,201.1,7.1,0.5,1.02,99.2,0.47,2.3392695306451656e-18,2.34e-18,0.6607943857396127
ALD_Al2O3_Si_00031,Al2O3,Si(100),ALD,212.3,5.1,0.15,1.01,99.9,0.54,1.2654580115632622e-18,1.27e-18,0.30584868070593874
ALD_Al2O3_Si_00032,Al2O3,Si(100),ALD,171.2,1.9,0.1,1.0,99.9,1.01,6.780918822849869e-19,6.78e-19,0.3419077922789954
ALD_Al2O3_Si_00033,Al2O3,Si(100),ALD,186.8,9.3,0.64,1.02,96.6,0.49,6.949407538404095e-18,6.95e-18,1.343393707878834
ALD_Al2O3_Si_00034,Al2O3,Si(100),ALD,259.3,0.8,0.12,1.05,99.9,2.0,1.1607515645430943e-18,1.16e-18,0.9703616177267926
ALD_Al2O3_Si_00035,Al2O3,Si(100),ALD,243.7,2.0,0.66,1.09,99.9,1.52,6.45143643691737e-18,6.45e-18,4.0774356842131345
ALD_Al2O3_Si_00036,Al2O3,Si(100),ALD,268.7,6.4,0.98,1.1,99.9,2.0,1.4039378575886045e-17,1.4e-17,9.644069430978286
ALD_Al2O3_Si_00037,Al2O3,Si(100),ALD,197.3,5.1,0.18,1.01,99.9,0.58,9.77546726357897e-19,9.78e-19,0.3162833726941325
ALD_Al2O3_Si_00038,Al2O3,Si(100),ALD,159.9,8.0,0.54,0.96,94.4,1.32,3.5831588849105e-18,3.58e-18,2.386971295822115
ALD_Al2O3_Si_00039,Al2O3,Si(100),ALD,307.7,2.5,0.37,1.11,99.9,2.0,7.807700221484876e-18,7.81e-18,4.419119798554682
ALD_Al2O3_Si_00040,Al2O3,Si(100),ALD,317.2,9.7,0.6,1.15,99.9,2.0,1.4865954744771514e-17,1.49e-17,7.76507002188604
ALD_Al2O3_Si_00041,Al2O3,Si(100),ALD,327.9,7.1,0.82,1.18,99.9,2.0,2.626157536633536e-17,2.63e-17,10.0
ALD_Al2O3_Si_00042,Al2O3,Si(100),ALD,208.6,9.0,0.34,1.03,97.3,0.53,2.6421015182576938e-18,2.64e-18,0.6530304475662644
ALD_Al2O3_Si_00043,Al2O3,Si(100),ALD,187.4,2.5,0.99,1.04,99.9,0.37,5.067427648693391e-18,5.07e-18,1.0773490970651334
ALD_Al2O3_Si_00044,Al2O3,Si(100),ALD,153.4,1.4,0.79,0.99,99.9,1.5,3.583208934283765e-18,3.58e-18,3.2808337443956335
ALD_Al2O3_Si_00045,Al2O3,Si(100),ALD,250.6,9.5,0.94,1.08,99.1,1.72,8.894708577990352e-18,8.89e-18,6.465492136305743
ALD_Al2O3_Si_00046,Al2O3,Si(100),ALD,248.4,7.6,0.73,1.07,99.9,1.75,9.012682657373953e-18,9.01e-18,5.835389785212027
ALD_Al2O3_Si_00047,Al2O3,Si(100),ALD,329.4,1.8,0.91,1.17,99.9,2.0,3.2994569468104505e-17,3.3e-17,10.0
ALD_Al2O3_Si_00048,Al2O3,Si(100),ALD,319.3,2.2,0.67,1.17,99.9,2.0,1.1503959350143797e-17,1.15e-17,7.218291535306073
ALD_Al2O3_Si_00049,Al2O3,Si(100),ALD,348.7,5.3,0.93,1.2,99.9,2.0,1.9269912469743844e-17,1.93e-17,10.0
ALD_Al2O3_Si_00050,Al2O3,Si(100),ALD,289.1,5.6,0.61,1.09,99.9,2.0,1.1211278192910141e-17,1.12e-17,6.799325463329746
ALD_Al2O3_Si_00051,Al2O3,Si(100),ALD,301.5,6.4,0.72,1.14,99.9,2.0,1.1675596841245433e-17,1.17e-17,7.538399362312252
ALD_Al2O3_Si_00052,Al2O3,Si(100),ALD,254.1,9.5,0.57,1.08,99.9,1.94,7.351270249434867e-18,7.35e-18,5.162543266325978
ALD_Al2O3_Si_00053,Al2O3,Si(100),ALD,300.5,5.6,0.71,1.13,99.9,2.0,1.5687850832513168e-17,1.57e-17,8.677292714650706
ALD_Al2O3_Si_00054,Al2O3,Si(100),ALD,227.8,6.7,0.45,1.06,99.9,0.78,2.328774422308504e-18,2.33e-18,1.0380252625364963
