id,material,substrate,process,T_C,P_Torr,t_pulse_s,GPC_A_per_cycle,Uniformity_pct,Interdiffusion_Width_nm,Diffusivity_cm2_per_s,Diffusivity_cm2_per_s_str
ALD_Al2O3_Si_00001,Al2O3,Si(100),ALD,267.7,5.4,0.93,1.12,99.9,2,7.497536362823455e-18,7.50e-18
ALD_Al2O3_Si_00002,Al2O3,Si(100),ALD,256.9,6.6,0.61,1.09,99.9,2,5.7786447572491375e-18,5.78e-18
ALD_Al2O3_Si_00003,Al2O3,Si(100),ALD,266.3,3.1,0.88,1.12,99.9,2,1.0616411730878018e-17,1.06e-17
ALD_Al2O3_Si_00004,Al2O3,Si(100),ALD,226.5,1.5,0.59,1.08,99.9,0.9,5.988537566244346e-18,5.99e-18
ALD_Al2O3_Si_00005,Al2O3,Si(100),ALD,186,7.2,0.6,1.01,99.9,0.48,5.2718166595271974e-18,5.27e-18
ALD_Al2O3_Si_00006,Al2O3,Si(100),ALD,164.7,5.5,0.67,0.99,97.1,1.07,4.278009871717472e-18,4.28e-18
ALD_Al2O3_Si_00007,Al2O3,Si(100),ALD,182.6,8.2,0.5,1.03,98.4,0.5,2.1918858183551887e-18,2.19e-18
ALD_Al2O3_Si_00008,Al2O3,Si(100),ALD,251.4,3.8,0.39,1.08,99.9,1.94,4.362178595079764e-18,4.36e-18
ALD_Al2O3_Si_00009,Al2O3,Si(100),ALD,278,6.5,0.27,1.08,99.9,2,4.435110717319274e-18,4.44e-18
ALD_Al2O3_Si_00010,Al2O3,Si(100),ALD,173.1,3.1,0.51,1.01,99.9,1.04,2.6391640744823574e-18,2.64e-18
ALD_Al2O3_Si_00011,Al2O3,Si(100),ALD,247.8,8.8,0.77,1.08,99.9,1.71,8.485032416874396e-18,8.49e-18
ALD_Al2O3_Si_00012,Al2O3,Si(100),ALD,169.5,3.7,0.34,0.98,99.9,1,1.0929614164903992e-18,1.09e-18
ALD_Al2O3_Si_00013,Al2O3,Si(100),ALD,309.8,4.2,0.64,1.15,99.9,2,1.0077307457377506e-17,1.01e-17
ALD_Al2O3_Si_00014,Al2O3,Si(100),ALD,236.9,6.2,0.07,1.01,99.9,1.1,6.946399510103941e-19,6.95e-19
ALD_Al2O3_Si_00015,Al2O3,Si(100),ALD,180.7,2.1,0.32,0.97,99.9,0.73,7.693227056422904e-19,7.69e-19
ALD_Al2O3_Si_00016,Al2O3,Si(100),ALD,308.8,5.8,0.9,1.15,99.9,2,2.39956887206718e-17,2.40e-17
ALD_Al2O3_Si_00017,Al2O3,Si(100),ALD,259.2,2.6,0.93,1.09,99.9,2,8.182121393610088e-18,8.18e-18
ALD_Al2O3_Si_00018,Al2O3,Si(100),ALD,206.4,7.9,0.99,1.06,99.9,0.41,9.581715809902327e-18,9.58e-18
ALD_Al2O3_Si_00019,Al2O3,Si(100),ALD,255.3,7.5,0.65,1.07,99.9,1.95,1.0001508292249034e-17,1.00e-17
ALD_Al2O3_Si_00020,Al2O3,Si(100),ALD,337.3,9.4,0.97,1.16,99.9,2,2.399394430758584e-17,2.40e-17
ALD_Al2O3_Si_00021,Al2O3,Si(100),ALD,297.5,6.2,0.94,1.17,99.9,2,2.4935709806172922e-17,2.49e-17
ALD_Al2O3_Si_00022,Al2O3,Si(100),ALD,179.4,5.4,0.26,0.99,99.9,0.73,1.9813237722673763e-18,1.98e-18
ALD_Al2O3_Si_00023,Al2O3,Si(100),ALD,219.3,0.6,0.56,1.05,99.9,0.7,4.537532156158026e-18,4.54e-18
ALD_Al2O3_Si_00024,Al2O3,Si(100),ALD,331.8,9.5,0.99,1.16,99.9,2,2.4057959381348596e-17,2.41e-17
ALD_Al2O3_Si_00025,Al2O3,Si(100),ALD,305.8,9.4,0.54,1.12,99.9,2,1.602729716631661e-17,1.60e-17
ALD_Al2O3_Si_00026,Al2O3,Si(100),ALD,280.2,2.4,0.5,1.11,99.9,2,8.861518369715506e-18,8.86e-18
